Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
1380000,1.2948625,1050.7241379310344,0.1475547,2.474552308690959,2.474552308690959,0.010070983,0.034955427,0.00027990004,0.1933,0.0009336702,1.0
1440000,1.2851868,1050.7241379310344,0.18872263,2.5850474520733484,2.5850474520733484,0.010144307,0.034460627,0.00027900006,0.193,0.00093070016,1.0
1500000,1.274747,999.0,0.24682626,2.574399006777796,2.574399006777796,0.010285092,0.035889506,0.0002781,0.19270003,0.00092773023,1.0
1560000,1.2683135,1050.7241379310344,0.2752871,2.7123642913226425,2.7123642913226425,0.010819203,0.035916537,0.0002772,0.1924,0.0009247602,1.0
1620000,1.2634486,1050.7241379310344,0.31442901,2.7877047945713174,2.7877047945713174,0.0110706175,0.036903072,0.0002763,0.19209999,0.00092179026,1.0
1680000,1.2601999,1050.7241379310344,0.33927605,2.7713870573462103,2.7713870573462103,0.011125842,0.034137048,0.0002754,0.19180001,0.00091882027,1.0
1740000,1.255723,999.0,0.3653083,2.7564392213163704,2.7564392213163704,0.011561947,0.033957116,0.00027450002,0.19150001,0.0009158502,1.0
1800000,1.2491493,1050.7241379310344,0.39231303,2.9056809647329924,2.9056809647329924,0.011338925,0.03166119,0.0002736,0.19119999,0.0009128803,1.0
1860000,1.2408524,1050.7241379310344,0.42139542,2.9363128481240106,2.9363128481240106,0.011561809,0.03462178,0.0002727,0.1909,0.0009099103,1.0
1920000,1.2377561,1050.7241379310344,0.4328224,2.9335069740027713,2.9335069740027713,0.011472088,0.036153264,0.0002718,0.1906,0.00090694026,1.0
1980000,1.2329934,999.0,0.43937424,2.817647938070626,2.817647938070626,0.011877455,0.03414561,0.0002709,0.19030002,0.0009039703,1.0
2040000,1.2260355,1050.7241379310344,0.4683979,3.0114924301361214,3.0114924301361214,0.012294274,0.03508056,0.00027,0.19000003,0.0009009999,1.0
2100000,1.220571,1050.7241379310344,0.49212837,3.0605345717791854,3.0605345717791854,0.012479313,0.036240652,0.0002691,0.1897,0.00089803035,1.0
2160000,1.21423,1050.7241379310344,0.514798,3.123434443222849,3.123434443222849,0.012105679,0.03561125,0.00026819998,0.18939999,0.0008950599,1.0
2220000,1.205224,999.0,0.5307586,2.9955634125347794,2.9955634125347794,0.012258932,0.0364637,0.0002673,0.18910001,0.0008920901,1.0
2280000,1.196851,1050.7241379310344,0.53407806,3.179540917791169,3.179540917791169,0.012187279,0.03422773,0.00026639996,0.18880002,0.0008891199,1.0
2340000,1.1919274,1050.7241379310344,0.555382,3.184624359525483,3.184624359525483,0.0124898795,0.036346488,0.00026562,0.18854003,0.00088654604,1.0
2400000,1.1840678,1050.7241379310344,0.57218367,3.238114302618462,3.238114302618462,0.012719601,0.036060475,0.00026473505,0.18824503,0.0008836255,1.0
2460000,1.1793362,999.0,0.58178973,3.11165019972571,3.11165019972571,0.013511192,0.036213845,0.00026370003,0.18789998,0.00088020996,1.0
2520000,1.170486,1050.7241379310344,0.58129746,3.3195447551793067,3.3195447551793067,0.0137820775,0.035190046,0.00026280008,0.18759997,0.00087724003,1.0
2580000,1.1596621,1050.7241379310344,0.59656197,3.246745364419345,3.246745364419345,0.013461711,0.035538517,0.00026190002,0.18730003,0.00087427,1.0
2640000,1.1529485,1050.7241379310344,0.5969853,3.326132431364896,3.326132431364896,0.01370658,0.035484947,0.00026100007,0.187,0.00087130006,1.0
2700000,1.1404383,999.0,0.60233563,3.160718379349544,3.160718379349544,0.013734252,0.03613785,0.0002601001,0.1867,0.00086833,1.0
2760000,1.1311351,1050.7241379310344,0.6087437,3.3450737944964706,3.3450737944964706,0.014007583,0.03269305,0.00025920005,0.18639997,0.0008653601,1.0
2820000,1.1220579,1050.7241379310344,0.6224131,3.39127700082187,3.39127700082187,0.014079991,0.03535743,0.00025830005,0.1861,0.00086239004,1.0
2880000,1.115101,1050.7241379310344,0.6243147,3.3973287992310106,3.3973287992310106,0.013816513,0.033863556,0.00025740004,0.18580002,0.0008594199,1.0
2940000,1.1071372,999.0,0.6384531,3.258765697479248,3.258765697479248,0.014121886,0.035965137,0.0002565001,0.18550001,0.00085644994,1.0
3000000,1.0998459,1050.7241379310344,0.6341294,3.3779816915249,3.3779816915249,0.014341466,0.03635353,0.00025560005,0.1852,0.00085347996,1.0
3060000,1.0933616,1050.7241379310344,0.6356688,3.452627112125528,3.452627112125528,0.014934958,0.035459913,0.00025470008,0.18489999,0.00085051,1.0
3120000,1.0908602,1050.7241379310344,0.63857776,3.4123260221983256,3.4123260221983256,0.0147311315,0.03420253,0.00025380004,0.18459998,0.00084754,1.0
3180000,1.0863693,999.0,0.6508443,3.276335177750423,3.276335177750423,0.014733371,0.035055287,0.00025290006,0.1843,0.0008445699,1.0
3240000,1.0820051,1050.7241379310344,0.6509695,3.443212924332454,3.443212924332454,0.014571492,0.0312699,0.00025200003,0.18400002,0.0008416,1.0
3300000,1.0775061,1050.7241379310344,0.64756197,3.4928233253544776,3.4928233253544776,0.014418408,0.036127105,0.00025110005,0.1837,0.00083863,1.0
3360000,1.0743443,1050.7241379310344,0.6453336,3.436160735916673,3.436160735916673,0.014553999,0.037604358,0.0002502,0.18339999,0.0008356599,1.0
3420000,1.0673823,999.0,0.6557496,3.3143195283824,3.3143195283824,0.014627101,0.03716442,0.00024930004,0.1831,0.00083269004,1.0
3480000,1.0634942,1050.7241379310344,0.6558195,3.5321574992146987,3.5321574992146987,0.014673257,0.035121698,0.00024840003,0.18280002,0.00082971994,1.0
3540000,1.0574276,1050.7241379310344,0.67251706,3.452309715336767,3.452309715336767,0.014701776,0.033771813,0.00024750002,0.1825,0.00082675007,1.0
3600000,1.0508089,1050.7241379310344,0.67808145,3.5282234601807176,3.5282234601807176,0.014478927,0.037814744,0.00024660002,0.18219998,0.00082378,1.0
3660000,1.0442611,999.0,0.68211246,3.258222489521421,3.258222489521421,0.0143355485,0.033725888,0.00024570752,0.18190251,0.00082083483,1.0
3720000,1.039188,1050.7241379310344,0.6860217,3.465943480360097,3.465943480360097,0.0145248715,0.036886714,0.00024480006,0.18159999,0.0008178401,1.0
3780000,1.0352747,1050.7241379310344,0.67894727,3.5217143996008513,3.5217143996008513,0.014548127,0.036486022,0.00024390007,0.18130001,0.00081487006,1.0
3840000,1.0310568,1050.7241379310344,0.6731832,3.4880542295020924,3.4880542295020924,0.0149364825,0.03513857,0.00024300007,0.18100001,0.0008119001,1.0
3900000,1.0291866,999.0,0.6697405,3.284228070028897,3.284228070028897,0.015579744,0.036271527,0.00024210007,0.18070002,0.0008089301,1.0
3960000,1.0222241,1050.7241379310344,0.67167395,3.5664671330616393,3.5664671330616393,0.01529669,0.033285763,0.00024120006,0.18040001,0.00080596004,1.0
4020000,1.0180738,1050.7241379310344,0.66725445,3.445587593933632,3.445587593933632,0.015991073,0.034804467,0.00024030007,0.18009998,0.00080299017,1.0
4080000,1.0130984,1050.7241379310344,0.6747292,3.581653879399885,3.581653879399885,0.015395627,0.033559196,0.00023940005,0.1798,0.00080002006,1.0
4140000,1.0097728,999.0,0.6640186,3.3060525573533157,3.3060525573533157,0.01583734,0.035497412,0.00023850006,0.17950003,0.00079705013,1.0
4200000,1.0024431,1050.7241379310344,0.6640155,3.5813286181153923,3.5813286181153923,0.015995957,0.034816653,0.00023760005,0.17920002,0.0007940801,1.0
4260000,0.99375486,1050.7241379310344,0.66721606,3.499110563048001,3.499110563048001,0.015963482,0.0343265,0.00023670004,0.1789,0.0007911101,1.0
4320000,0.988526,1050.7241379310344,0.6710104,3.5732070772271407,3.5732070772271407,0.016249288,0.034888707,0.00023580003,0.17859997,0.00078814005,1.0
4380000,0.9862644,999.0,0.6718203,3.3886370165594695,3.3886370165594695,0.016222717,0.034961216,0.00023490004,0.1783,0.00078517006,1.0
4440000,0.9794226,1050.7241379310344,0.6795762,3.5699523769575974,3.5699523769575974,0.015868872,0.033887275,0.00023400005,0.17800002,0.00078220014,1.0
4500000,0.97283304,1050.7241379310344,0.68498164,3.5866785542718294,3.5866785542718294,0.016044825,0.034470655,0.00023310004,0.17770003,0.00077923003,1.0
4560000,0.9667136,1050.7241379310344,0.6845203,3.5657842242926883,3.5657842242926883,0.016063754,0.035050973,0.00023220004,0.1774,0.0007762601,1.0
4620000,0.96345663,999.0,0.68197936,3.4544701165166396,3.4544701165166396,0.01643471,0.032238916,0.00023130003,0.17709996,0.0007732901,1.0
4680000,0.95802736,1050.7241379310344,0.68214726,3.557662688452622,3.557662688452622,0.016118318,0.03823123,0.00023040004,0.17680001,0.00077032007,1.0
4740000,0.9519171,1050.7241379310344,0.6800801,3.6481971740722656,3.6481971740722656,0.016379468,0.035969693,0.00022950002,0.17650001,0.00076735014,1.0
4800000,0.94452375,1050.7241379310344,0.6811146,3.5632025986387017,3.5632025986387017,0.015880708,0.03557481,0.00022860002,0.17620003,0.0007643801,1.0
4860000,0.93967724,999.0,0.6926966,3.487785951844577,3.487785951844577,0.015662046,0.03374926,0.00022770002,0.1759,0.00076141016,1.0
4920000,0.9339792,1050.7241379310344,0.6879729,3.566619408541712,3.566619408541712,0.016373768,0.035013705,0.00022680001,0.17559999,0.0007584402,1.0
