Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
60000,1.4180261,999.0,0.32262713,-3.857665647540176,-3.857665647540176,0.057128605,0.03526582,0.00029939998,0.19980001,0.00099802,1.0
120000,1.4174472,1050.7241379310344,0.23519577,-3.9202004177816985,-3.9202004177816985,0.0139088705,0.03474958,0.0002988,0.1996,0.0009960401,1.0
180000,1.4182583,1050.7241379310344,0.1335153,-3.897123965723761,-3.897123965723761,0.011450442,0.037184898,0.00029789997,0.19929999,0.0009930702,1.0
240000,1.4148432,1050.7241379310344,0.04897099,-3.8019332258324874,-3.8019332258324874,0.014066327,0.03431119,0.00029700002,0.19899997,0.0009901001,1.0
300000,1.4111613,999.0,-0.047182195,-3.4890766637078645,-3.4890766637078645,0.011004602,0.039839096,0.00029609998,0.19870001,0.0009871301,1.0
360000,1.4059427,1050.7241379310344,-0.120709084,-3.3075799633716714,-3.3075799633716714,0.012523706,0.034565043,0.00029519998,0.1984,0.0009841602,1.0
420000,1.3995645,1050.7241379310344,-0.21278852,-3.3707929520771422,-3.3707929520771422,0.010688826,0.03593213,0.00029429997,0.1981,0.0009811901,1.0
480000,1.3953159,1050.7241379310344,-0.25148648,-3.0965522276727775,-3.0965522276727775,0.010040688,0.03672284,0.00029310756,0.19770253,0.0009772548,1.0
540000,1.3856237,999.0,-0.30649096,-2.4998328249002326,-2.4998328249002326,0.011245248,0.039635293,0.0002925,0.1975,0.0009752502,1.0
600000,1.3819433,1050.7241379310344,-0.32989532,-2.3329389979099404,-2.3329389979099404,0.010224176,0.03295315,0.0002916,0.19719999,0.00097228016,1.0
660000,1.378912,1050.7241379310344,-0.34122765,-2.1475420167733885,-2.1475420167733885,0.010501279,0.034229264,0.0002907,0.19689998,0.00096931023,1.0
720000,1.3717496,1050.7241379310344,-0.33768946,-1.6704557365492771,-1.6704557365492771,0.0108067505,0.03789065,0.0002898,0.19660002,0.00096634025,1.0
780000,1.3657227,999.0,-0.34293583,-1.1118490084491928,-1.1118490084491928,0.011353492,0.037617818,0.00028878747,0.19626252,0.00096299883,1.0
840000,1.3607843,1050.7241379310344,-0.32445288,-0.8095222994171339,-0.8095222994171339,0.010505968,0.035439562,0.00028800004,0.19600001,0.00096040027,1.0
900000,1.3510474,1050.7241379310344,-0.30034196,-0.1142807150709218,-0.1142807150709218,0.010914564,0.034511022,0.00028710003,0.19570002,0.0009574302,1.0
960000,1.3432511,1050.7241379310344,-0.25711071,0.3912337725622612,0.3912337725622612,0.010932116,0.03609443,0.00028620005,0.19540001,0.00095446024,1.0
1020000,1.3354634,999.0,-0.20237663,0.7903818914602543,0.7903818914602543,0.010431865,0.034829058,0.00028530005,0.19509998,0.00095149025,1.0
1080000,1.3298576,1050.7241379310344,-0.1581436,1.2055293701846024,1.2055293701846024,0.009697311,0.03484061,0.00028440004,0.19479997,0.00094852014,1.0
1140000,1.3253803,1050.7241379310344,-0.08353761,1.6471375900095906,1.6471375900095906,0.009852938,0.034444723,0.0002835,0.19450003,0.00094555016,1.0
1200000,1.3200421,1050.7241379310344,-0.022215806,1.813733773273334,1.813733773273334,0.009699734,0.03482817,0.0002826,0.19420002,0.0009425802,1.0
1260000,1.3118249,999.0,0.033443872,2.0793957052559686,2.0793957052559686,0.009829324,0.035883725,0.00028170002,0.1939,0.0009396102,1.0
1320000,1.3045934,1050.7241379310344,0.0800013,2.3432350508097946,2.3432350508097946,0.010560233,0.03598479,0.00028080004,0.19359997,0.0009366402,1.0
